latitude,longitude
6.96069,80.76929
6.95921,80.77201
6.95867,80.77286
6.9579,80.77312
6.95756,80.77322
6.95778,80.77384
6.95734,80.77596
6.95637,80.77737
6.95602,80.77828
6.95518,80.77911
6.95386,80.77954
6.9532,80.78077
6.95353,80.78158
6.95409,80.78197
6.95395,80.78261
6.95338,80.78335
6.95272,80.78622
6.9513,80.78784
6.95105,80.78846
6.94974,80.78885
6.94928,80.79025
6.9486,80.79107
6.94639,80.79128
6.94631,80.79205
6.94542,80.79261
6.94484,80.79292
6.9451,80.79449
6.94472,80.79517
6.94379,80.7968
6.94324,80.79765
6.94262,80.79797
6.94169,80.79886
6.9398,80.79895
6.93899,80.80002
6.93842,80.80031
6.93748,80.80115
6.9377,80.8035
6.93651,80.80411
6.93578,80.80438
6.93419,80.80583
6.93339,80.80697
6.93396,80.80818
6.93408,80.80893
6.93378,80.80986
6.93302,80.81053
6.93197,80.81132
6.93132,80.81255
6.93033,80.81561
6.93001,80.81696
6.9301,80.81784
6.92947,80.81857
6.92907,80.81979
6.92849,80.82053
6.9288,80.82119
6.92768,80.82166
6.92732,80.82237
6.92662,80.82329
6.92643,80.8243
6.92667,80.82479
6.92622,80.82452
6.92581,80.82526
6.92486,80.8256
6.92477,80.8262
6.92366,80.82685
6.92305,80.82709
6.92286,80.82791
6.9211,80.82904
6.92049,80.82904
6.9204,80.82959
6.91927,80.83046
6.91916,80.83142
6.91827,80.83135
6.91807,80.83056
6.91754,80.83074
6.91649,80.83134
6.91555,80.83191
6.91498,80.8318
6.91374,80.83224
6.91324,80.83293
6.91368,80.83329
6.91339,80.83362
6.91323,80.83432
6.91214,80.83398
6.91031,80.83486
6.91058,80.83562
6.91033,80.83643
6.90981,80.83647
6.90957,80.83777
6.909,80.83786
6.90821,80.83815
6.90781,80.83779
6.90714,80.8389
6.90771,80.83937
6.90777,80.8417
6.90663,80.84351
6.90601,80.84468
6.90534,80.84499
6.9047,80.84592
6.90502,80.84688
6.90518,80.84801
6.90597,80.84881
6.90681,80.84869
6.90661,80.851
6.90602,80.85196
6.90599,80.85309
6.90702,80.85454
6.90835,80.85426
6.90815,80.85581
6.90835,80.8569
6.9074,80.85636
6.90697,80.85614
6.90681,80.85648
6.90696,80.85846
6.90699,80.85947
6.90521,80.85929
6.90496,80.85963
6.90517,80.86
6.90483,80.85999
6.90441,80.85998
6.90421,80.86043
6.90341,80.86081
6.90339,80.86164
6.90209,80.86254
6.90147,80.86322
6.90088,80.86349
6.89864,80.8642
6.89765,80.86388
6.89693,80.86422
6.89524,80.86334
6.89402,80.86489
6.89328,80.86559
6.89408,80.86621
6.89394,80.86873
6.89428,80.87027
6.89531,80.87175
6.89543,80.87284
6.89618,80.87385
6.8968,80.8754
6.89602,80.87694
6.89578,80.87786
6.89711,80.87958
6.89789,80.87937
6.89846,80.87922
6.8985,80.87985
6.89875,80.88108
6.90021,80.8821
6.90077,80.88217
6.90073,80.88261
6.90047,80.88382
6.90246,80.88635
6.90189,80.88752
6.90195,80.88819
6.90253,80.88858
6.90284,80.88933
6.90182,80.88983
6.90139,80.89047
6.90155,80.8918
6.90173,80.89344
6.90252,80.89558
6.90284,80.89618
6.90158,80.89835
6.90159,80.90025
6.90219,80.90103
6.90139,80.90216
6.90101,80.90377
6.90017,80.9051
6.90011,80.90547
6.90044,80.90556
6.90168,80.90502
6.90241,80.90512
6.90336,80.90612
6.90414,80.90713
6.90428,80.90791
6.90413,80.90931
6.90462,80.90962
6.90559,80.90965
6.90577,80.90988
6.90529,80.9112
6.90441,80.91225
6.90392,80.91237
6.90411,80.91278
6.90423,80.91325
6.90528,80.91381
6.90605,80.91378
6.90639,80.91418
6.90618,80.91469
6.90576,80.91614
6.90635,80.91743
6.90624,80.91834
6.90631,80.91899
6.90712,80.91973
6.90922,80.92154
6.90931,80.92285
6.90775,80.92322
6.90642,80.92387
6.90613,80.92448
6.90926,80.92748
6.91099,80.93001
6.91058,80.93101
6.91089,80.93165
6.91215,80.93175
6.91136,80.93237
6.91084,80.9332
6.91069,80.93497
6.90855,80.93613
6.90777,80.93546
6.9068,80.93533
6.90575,80.93526
6.90522,80.93558
6.9043,80.93582
6.9036,80.93614
6.90342,80.93704
6.90257,80.93866
6.90128,80.93927
6.9008,80.93898
6.90007,80.93847
6.89883,80.93857
6.89523,80.93769
6.89072,80.93715
6.88967,80.93694
6.88926,80.93727
6.88783,80.93827
6.88624,80.93918
6.88516,80.94039
6.88238,80.94071
6.88084,80.94121
6.88055,80.94208
6.87939,80.94209
6.87756,80.94244
6.87688,80.9422
6.87648,80.94147
6.87549,80.94138
6.87513,80.94227
6.87354,80.94335
6.87185,80.9434
6.87024,80.94349
6.86919,80.9438
6.86907,80.94511
6.86808,80.94512
6.86723,80.94566
6.86714,80.94639
6.86717,80.94734
6.86829,80.94794
6.86912,80.94924
6.8698,80.95002
6.87042,80.95008
6.87126,80.95062
6.8715,80.95136
6.87027,80.95178
6.869,80.95161
6.86878,80.95202
6.86995,80.95314
6.86904,80.95406
6.8684,80.95385
6.86724,80.95405
6.86674,80.95337
6.86622,80.95326
6.86643,80.95458
6.86669,80.95515
6.86599,80.95627
6.86375,80.95814
6.86376,80.95866
6.86322,80.96
6.86117,80.96113
6.86199,80.96196
6.86202,80.96243
6.8609,80.96175
6.85947,80.96179
6.85897,80.96234
6.85896,80.96358
6.85868,80.96441
6.85749,80.96504
6.85598,80.9652
6.8564,80.96538
6.85707,80.96576
6.85776,80.9666
6.85875,80.96657
6.8583,80.96742
6.85723,80.9677
6.85539,80.96803
6.85408,80.96914
6.85326,80.96846
6.85241,80.96877
6.85158,80.96838
6.85098,80.96704
6.85004,80.96709
6.85025,80.96826
6.85007,80.96895
6.84923,80.96938
6.84858,80.97012
6.84822,80.97134
6.84645,80.97248
6.84568,80.97321
6.84502,80.97276
6.84454,80.97306
6.84413,80.97388
6.84266,80.97377
6.84154,80.9744
6.84073,80.97464
6.84045,80.97545
6.83971,80.9761
6.8402,80.97655
6.83997,80.97734
6.83939,80.97725
6.83834,80.97804
6.83792,80.97835
6.8386,80.97921
6.83714,80.98262
6.83635,80.98351
6.83506,80.98342
6.83504,80.98386
6.83449,80.98421
6.83283,80.98527
6.83182,80.98625
6.83122,80.98813
6.83127,80.98865
6.83082,80.98879
6.83058,80.98888
6.83047,80.98892
6.82907,80.98726
6.82863,80.98684
6.82912,80.98829
6.8274,80.98897
6.82796,80.98995
6.82816,80.99072
6.82803,80.99097
6.82737,80.99052
6.82629,80.99062
6.8255,80.99141
6.82577,80.99242
6.82529,80.9937
6.82486,80.99427
6.82526,80.99493
6.82409,80.99591
6.82446,80.99718
6.82525,80.99779
6.82578,80.99799
